subset,purpose,case_kind,parent_case_id,physical_case_id,run_chid,replicate_id,Q_requested_MW,Af_requested_m2,Af_discrete_m2,Df_requested_m,Df_discrete_m,burner_side_requested_m,burner_bounds,xf_requested_m,xf_actual_m,yf_actual_m,dx_m,mesh_profile,sensor_profile,output_profile,rnd_seed,T_end_s,fds_version_planned,run_core_sha256,source_input_path,status
development,development_offset,fire,d_q018_s35,d_q018_s35_x60,d_q018_s35_x60_g25_r104729,r104729,18,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[58.25, 61.75, 3.25, 6.75]",60,60,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),883caee807407e0a5bbabb97d4d5bf6f788ff879b6da14e5274ab6b8435a2a25,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x60_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_offset,fire,d_q018_s50,d_q018_s50_x40,d_q018_s50_x40_g25_r104729,r104729,18,25,25,5.64189583547756,5.64189583547756,5,"[37.5, 42.5, 2.5, 7.5]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),0d85842dbbc3bdfac5d036141b4d59e65075d1723a5066e55d5a6ae8ce23036b,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s50_x40_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_offset,fire,d_q018_s50,d_q018_s50_x60,d_q018_s50_x60_g25_r104729,r104729,18,25,25,5.64189583547756,5.64189583547756,5,"[57.5, 62.5, 2.5, 7.5]",60,60,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),bbd399c3b91f2792f00d10b69af4af7bcffdf014094e7352ada43e013e9787f1,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s50_x60_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_seed_repeat,fire,d_q027_s45,d_q027_s45_x40,d_q027_s45_x40_g25_r204729,r204729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[37.75, 42.25, 2.75, 7.25]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,204729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),51e6256031e99810d0293df25cc155cf81595c921021892c15bc420e2bfea3cf,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x40_g25_r204729.fds,COMPLETED_ACCEPTED_G4
development,development_seed_repeat,fire,d_q027_s45,d_q027_s45_x40,d_q027_s45_x40_g25_r304729,r304729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[37.75, 42.25, 2.75, 7.25]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,304729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),aedbba6f710b2c3c653944f2135ebaf51c6a4879d1e7e90efe5dba8e25629a03,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x40_g25_r304729.fds,COMPLETED_ACCEPTED_G4
development,development_seed_repeat,fire,d_q027_s45,d_q027_s45_x60,d_q027_s45_x60_g25_r204729,r204729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[57.75, 62.25, 2.75, 7.25]",60,60,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,204729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),791d2290fad3134c1d5aa556580f1e8659453a1d72bb317030015c09b3c4feea,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x60_g25_r204729.fds,COMPLETED_ACCEPTED_G4
development,development_seed_repeat,fire,d_q027_s45,d_q027_s45_x60,d_q027_s45_x60_g25_r304729,r304729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[57.75, 62.25, 2.75, 7.25]",60,60,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,304729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),5f3da8bb7bf024adce0e6d56962f3d623ef767406d1135923f5710aba36e1673,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x60_g25_r304729.fds,COMPLETED_ACCEPTED_G4
development,development_offset,fire,d_q036_s35,d_q036_s35_x40,d_q036_s35_x40_g25_r104729,r104729,36,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[38.25, 41.75, 3.25, 6.75]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),6055f6efc3c5ec254f3fd59d4fc35afd4761383dfdf77904b454049e69fe90e5,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s35_x40_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_offset,fire,d_q036_s35,d_q036_s35_x60,d_q036_s35_x60_g25_r104729,r104729,36,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[58.25, 61.75, 3.25, 6.75]",60,60,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),a82f653c8528a9b89c87ecb7f26a6f03790886ed4d0f5a5e9748c05738addfef,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s35_x60_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_offset,fire,d_q036_s50,d_q036_s50_x40,d_q036_s50_x40_g25_r104729,r104729,36,25,25,5.64189583547756,5.64189583547756,5,"[37.5, 42.5, 2.5, 7.5]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),dd9d900ca102f5871a2d4ca54a02085e184fde1aee27e615d3dd7763a54689e2,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x40_g25_r104729.fds,COMPLETED_ACCEPTED_G4
