s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.6200060E+002, 3.3671862E+004,-1.0396925E+004,-1.8191886E+004,-1.8099097E+003,-2.1800020E+000, 0.0000000E+000, 0.0000000E+000,-1.7753240E+003, 3.2709616E+003, 1.4936341E+002, 9.1722094E-001,-1.7714638E-167
 1.6300464E+002, 4.5913528E+004,-1.5606406E+004,-2.2564666E+004,-1.9661697E+003,-2.2335291E+000, 0.0000000E+000, 0.0000000E+000, 3.0518691E+003, 5.7740529E+003, 1.4936341E+002, 9.1722094E-001,-8.6512462E-168
 1.6400227E+002, 3.9367555E+004,-1.1106250E+004,-3.1961061E+004,-2.6125154E+003,-2.2445804E+000, 0.0000000E+000, 0.0000000E+000,-3.0458685E+003,-6.3145158E+003, 1.4936341E+002, 9.1722094E-001,-9.8571787E-168
 1.6500357E+002, 3.3044043E+004,-1.0547696E+004,-1.6435606E+004,-1.8322269E+003,-2.1739507E+000, 0.0000000E+000, 0.0000000E+000,-1.5099347E+003, 4.2263400E+003, 1.4936341E+002, 9.1722094E-001,-5.8085981E-168
 1.6600162E+002, 4.5797113E+004,-1.5494104E+004,-2.0127901E+004,-1.8673129E+003,-2.2262735E+000, 0.0000000E+000, 0.0000000E+000, 4.1115108E+003, 8.3055687E+003, 1.4936341E+002, 9.1722094E-001,-1.0796260E-167
 1.6700406E+002, 4.1538912E+004,-1.1570229E+004,-3.1980723E+004,-2.6060306E+003,-2.2382110E+000, 0.0000000E+000, 0.0000000E+000,-9.9926778E+002,-4.6203085E+003, 1.4936341E+002, 9.1722094E-001,-1.0736337E-166
 1.6801404E+002, 3.3884666E+004,-1.0649987E+004,-1.7058933E+004,-1.7798096E+003,-2.1802272E+000, 0.0000000E+000, 0.0000000E+000,-1.1097749E+003, 4.3937560E+003, 1.4936341E+002, 9.1722094E-001,-2.0360782E-165
 1.6900461E+002, 4.5669456E+004,-1.5132348E+004,-2.2148957E+004,-1.9133923E+003,-2.2686735E+000, 0.0000000E+000, 0.0000000E+000, 2.9230374E+003, 6.4724896E+003, 1.4936341E+002, 9.1722094E-001,-9.3291247E-165
 1.7000461E+002, 4.0706625E+004,-1.1364366E+004,-3.2040309E+004,-2.5580010E+003,-2.2446459E+000, 0.0000000E+000, 0.0000000E+000,-1.7577784E+003,-5.2582960E+003, 1.4936341E+002, 9.1722094E-001,-7.7056845E-165
 1.7100458E+002, 3.4082032E+004,-1.0796211E+004,-1.8310537E+004,-1.8479627E+003,-2.1787727E+000, 0.0000000E+000, 0.0000000E+000,-1.7017554E+003, 3.1251421E+003, 1.4936341E+002, 9.1722094E-001,-2.5033764E-162
 1.7201534E+002, 4.4845098E+004,-1.5033322E+004,-2.0001893E+004,-1.8463334E+003,-2.2390130E+000, 0.0000000E+000, 0.0000000E+000, 3.8452788E+003, 7.9613105E+003, 1.4936341E+002, 9.1722094E-001,-7.2473904E-162
 1.7300633E+002, 4.1246373E+004,-1.1764355E+004,-3.1470126E+004,-2.6011278E+003,-2.2459166E+000, 0.0000000E+000, 0.0000000E+000,-6.4863196E+002,-4.5914811E+003, 1.4936341E+002, 9.1722094E-001,-4.6755520E-161
